# 
col
15	15	15	# 0
188	188	180	# 1
42	119	161	# 2
135	32	32	# 3
1	36	79	# 4
134	68	110	# 5
255	182	16	# 6
76	117	183	# 7
189	190	198	# 8
94	112	114	# 9
70	89	122	# 10
101	106	121	# 11
93	126	141	# 12
88	89	90	# 13
214	218	214	# 14
156	161	163	# 15
51	95	63	# 16
115	30	40	# 17
123	20	52	# 18
159	157	148	# 19
59	78	120	# 20
115	46	62	# 21
105	30	59	# 22
150	145	140	# 23
81	84	89	# 24
63	62	69	# 25
165	169	167	# 26
99	92	90	# 27
61	74	104	# 28
151	149	146	# 29
66	31	33	# 30
95	39	43	# 31
132	148	171	# 32
118	123	124	# 33
100	100	100	# 34
90	87	82	# 35
37	37	39	# 36
45	58	53	# 37
147	163	150	# 38
109	122	136	# 39
34	25	24	# 40
111	103	95	# 41
124	38	52	# 42
85	10	21	# 43
25	56	38	# 44
93	30	40	# 45
157	152	114	# 46
122	117	96	# 47
152	149	134	# 48
173	176	176	# 49
132	137	136	# 50
48	79	69	# 51
77	98	104	# 52
22	34	72	# 53
39	47	75	# 54
125	98	86	# 55
158	164	171	# 56
156	141	113	# 57
99	24	34	# 58
78	104	129	# 59
156	156	152	# 60
145	115	71	# 61
102	40	50	# 62
148	157	159	# 63
164	167	165	# 64
142	140	70	# 65
52	26	30	# 66
106	122	140	# 67
170	173	142	# 68
171	152	143	# 69
133	50	65	# 70
111	130	151	# 71
88	88	83	# 72
154	167	144	# 73
96	26	35	# 74
59	59	75	# 75
164	160	150	# 76
170	157	132	# 77
120	44	53	# 78
14	49	109	# 79
104	42	63	# 80
123	113	94	# 81
116	40	50	# 82
30	46	50	# 83
77	50	47	# 84
124	37	78	# 85
46	91	32	# 86
57	90	131	# 87
109	50	65	# 88
167	162	143	# 89
175	177	177	# 90
54	65	85	# 91
109	108	110	# 92
15	106	137	# 93
32	75	107	# 94
239	232	200	# 95
12	39	94	# 96
255	255	255	# 97
94	112	114	# 98
43	47	58	# 99
65	79	55	# 100
255	239	100	# 101
end
car
DFLT 6ATV, 98,98, 100,100, 99,99, 2,2
SRPT 6ATV, 240,241
LCAL 6ATV, 255,0,0, 0,255,0, 0,0,0, 0,0,0
DFLT ADMIRAL, 10,10, 74,74, 14,14, 19,19, 21,21, 24,24, 30,30, 99,99
SRPT ADMIRAL
LCAL ADMIRAL, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT CHEETAH, 54,1, 14,1, 52,1, 61,1, 43,1, 51,1, 3,1, 11,1
SRPT CHEETAH
LCAL CHEETAH, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT AUTOGYRO, 241,240, 241,240
SRPT AUTOGYRO
LCAL AUTOGYRO, 36,57,100, 255,255,255, 0,0,0, 0,0,0
DFLT BAGGAGE, 99,99, 98,98, 76,76
SRPT BAGGAGE
LCAL BAGGAGE, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BANSHEE, 54,1, 14,1, 52,1, 61,1, 43,1, 51,1, 3,1, 11,1
SRPT BANSHEE
LCAL BANSHEE, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT PEREN, 18,95, 37,37, 55,95, 58,95, 23,23, 47,95, 66,66, 31,95
SRPT PEREN
LCAL PEREN, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BLISTAC, 24,72, 34,73, 44,74, 54,75, 64,72, 57,73, 48,74, 26,75
SRPT BLISTAC
LCAL BLISTAC, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BMXBOY, 13,13, 22,22, 35,35, 38,38, 2,2, 3,3, 48,48, 51,51
SRPT BMXBOY
LCAL BMXBOY, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BMXGIRL, 54,80, 67,79, 13,83, 63,39, 32,1, 51,78, 3,39, 40,38
SRPT BMXGIRL
LCAL BMXGIRL, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BOBCAT, 55,1, 65,1, 45,1, 35,1, 24,1, 58,1, 67,1, 14,1
SRPT BOBCAT, 240,241
LCAL BOBCAT, 172,117,78, 158,151,140, 0,0,0, 0,0,0
DFLT BULLDOZE, 13,76, 28,77, 63,78, 42,76, 54,77, 39,78, 11,76, 60,77
SRPT BULLDOZE
LCAL BULLDOZE, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT BURRITO, 30,73, 16,72, 1,75, 18,74, 42,73, 60,72, 57,75, 48,74
SRPT BURRITO
LCAL BURRITO, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT CABBIE, 6,76
SRPT CABBIE
LCAL CABBIE, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT CADDY, 56,1, 17,8, 38,34
SRPT CADDY
LCAL CADDY, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT SPEEDER2, 1,15, 1,53
SRPT SPEEDER2
LCAL SPEEDER2, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT PIMP, 55,1, 65,1, 45,1, 35,1, 24,1, 58,1, 67,1, 14,1
SRPT PIMP
LCAL PIMP, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT DELUXO, 96,96, 93,93, 89,89, 66,66, 32,32, 17,17, 30,30
SRPT DELUXO
LCAL DELUXO, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT HUEY, 241,240, 241,240
SRPT HUEY
LCAL HUEY, 36,57,100, 255,255,255, 0,0,0, 0,0,0
DFLT HUEYHOSP, 241,240, 241,240
SRPT HUEYHOSP
LCAL HUEYHOSP, 176,0,0, 255,255,255, 0,0,0, 0,0,0
DFLT ELECTRAG, 0,0, 2,2, 78,78, 73,2, 71,2, 23,2, 32,2
SRPT ELECTRAG
LCAL ELECTRAG, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT ELECTRAP
SRPT ELECTRAP
LCAL ELECTRAP, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT ESPERANT, 28,28, 18,18, 38,38, 59,59, 69,69, 49,49, 75,75, 41,41
SRPT ESPERANT
LCAL ESPERANT, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT FBICAR, 71,73
SRPT FBICAR
LCAL FBICAR, 0,0,0, 0,0,0, 0,0,0, 0,0,0
DFLT FIRETRUK, 3,1
SRPT FIRETRUK
